"","CNT","Gender","Mothereduc","HmwPC","Books","Cars","IMM","LEARNMINWEEK","ESCS","EMOSUPS","PV10MATH","PV10SCIE"
"1","FRA",1,2,1,1,2,1,2280,5.6608,1.3649,359.898,472.36
"2","FRA",0,2,1,1,3,1,1540,5.019,3.4518,434.867,397.313
"3","FRA",1,2,1,1,2,1,2025,6.532,3.6637,581.459,632.093
"4","FRA",1,1,1,1,3,1,1870,7.2928,4.4814,533.514,531.394
"5","FRA",0,1,1,1,3,0,1650,7.3285,4.4814,583.304,617.125
"6","FRA",1,1,1,1,4,0,1600,5.2366,3.9497,585.832,605.983
"7","FRA",1,2,1,1,4,1,1650,5.9888,4.4814,491.116,568.196
"8","FRA",1,1,1,1,2,1,2610,6.2029,2.2621,539.707,553.709
"9","FRA",1,2,1,1,3,1,1430,5.769,3.809,457.937,565.721
"10","FRA",1,2,1,1,4,1,1100,6.0236,3.9497,544.173,494.339
"11","FRA",1,1,1,1,3,1,1485,5.9712,2.7892,549.181,549.631
"12","FRA",1,1,0,1,2,1,1540,6.238,4.4814,569.905,582.846
"13","FRA",0,1,1,1,4,1,1485,7.6779,3.6637,593.041,648.929
"14","FRA",0,1,1,1,2,1,1265,7.2463,3.6637,621.814,601.543
"15","FRA",0,1,1,1,1,0,1380,5.4922,4.4814,440.348,479.562
"16","FRA",1,2,1,1,3,1,1650,5.7044,4.4814,377.277,488.639
"17","FRA",1,1,1,1,3,1,1375,6.1413,4.4814,535.483,600.967
"18","FRA",0,1,1,1,3,1,1500,6.0063,3.6637,468.164,561.137
"19","FRA",0,2,1,1,3,1,1650,5.9852,2.3811,562.616,573.087
"20","FRA",1,2,1,1,3,1,1100,4.7245,4.4814,451.674,491.034
"21","FRA",0,1,1,1,3,1,1100,7.5145,4.4814,597.734,684.392
"22","FRA",0,1,1,1,3,1,1540,7.0745,1.7757,631.403,620.9
"23","FRA",1,5,1,1,2,1,1440,2.5842,4.0832,376.55,349.534
"24","FRA",0,1,1,1,4,1,1925,6.1334,4.4814,585.548,565.046
"25","FRA",1,1,1,0,3,1,2530,6.3681,1.8668,546.865,549.068
"26","FRA",1,2,0,1,1,1,1320,4.9471,2.0554,499.4,447.635
"27","FRA",1,2,1,1,4,1,1210,5.3254,4.4814,493.354,519.757
"28","FRA",1,1,1,1,4,1,1375,5.9993,2.3811,634.982,590.035
"29","FRA",0,1,1,1,4,1,1925,6.6521,2.7892,566.283,622.345
"30","FRA",1,3,1,1,3,1,1200,5.6702,2.7892,424.285,384.868
"31","FRA",1,1,1,1,4,1,1760,7.0204,4.087,606.84,648.088
"32","FRA",0,3,1,1,3,1,1800,6.2355,4.0832,327.572,423.65
"33","FRA",0,2,1,1,3,1,1885,5.8075,3.6595,408.801,399.044
"34","FRA",0,1,1,1,3,1,1680,6.9957,4.4814,460.799,423.001
"35","FRA",0,1,1,1,4,1,1250,7.5135,4.4814,611.891,585.408
"36","FRA",1,2,1,0,2,1,3000,4.9653,2.7892,565.174,566.707
"37","FRA",0,1,1,1,4,1,2600,8.117,4.4814,472.931,470.399
"38","FRA",1,2,1,1,3,1,1210,4.9454,3.9497,385.97,487.068
"39","FRA",0,3,1,0,4,1,1980,6.627,2.7892,403.107,418.065
"40","FRA",0,1,1,1,3,1,1500,7.0089,2.7892,522.258,512.072
"41","FRA",0,1,1,0,3,1,2695,5.6931,2.7892,525.737,549.646
"42","FRA",1,1,1,1,2,1,1705,5.1467,3.6637,570.693,623.074
"43","FRA",0,1,1,1,2,1,1700,5.7972,1.9566,559.935,551.617
"44","FRA",1,3,1,1,2,1,1705,4.2416,2.2621,511.747,482.387
"45","FRA",0,1,1,1,3,1,2625,7.3,4.4814,490.67,508.448
"46","FRA",0,1,1,1,3,1,1430,6.7221,4.4814,572.213,605.624
"47","FRA",0,1,1,1,3,1,1650,5.5442,2.7892,491.156,463.546
"48","FRA",1,1,1,1,3,1,1485,7.4173,4.4814,683.757,667.584
"49","FRA",0,2,1,1,3,1,2035,7.3202,4.4814,367.214,409.461
"50","FRA",1,2,1,1,4,1,1760,6.3176,3.9497,631.005,585.218
"51","FRA",1,1,1,1,3,1,1600,7.473,4.4814,359.96,367.534
"52","FRA",0,3,1,0,3,1,1000,5.2233,3.6637,273.921,318.166
"53","FRA",1,1,1,1,1,1,1705,6.0557,2.7892,432.553,409.621
"54","FRA",1,1,1,1,3,1,2200,6.9699,4.4814,522.463,521.98
"55","FRA",0,1,1,1,3,1,1925,6.5248,2.7892,599.527,666.163
"56","FRA",0,1,1,1,3,0,1100,7.0861,4.4814,607.945,603.734
"57","FRA",1,1,1,1,4,1,1375,5.399,4.4814,498.749,582.125
"58","FRA",1,1,1,1,2,1,1760,6.1914,4.4814,516.958,594.146
"59","FRA",0,1,1,1,3,1,2200,5.2216,2.7892,460.965,457.227
"60","FRA",0,1,1,1,2,1,1920,5.2756,3.9497,447.598,500.006
"61","FRA",1,2,1,0,4,1,1750,6.2763,1.8644,358.503,405.238
"62","FRA",1,1,1,1,2,1,1300,6.929,3.9497,484.497,542.33
"63","FRA",1,3,1,1,2,1,2220,4.115,4.4814,363.163,408.519
"64","FRA",1,1,1,0,2,1,1870,6.1532,3.6595,555.329,517.245
"65","FRA",1,1,1,1,3,1,1925,6.95,3.6637,553.207,587.696
